"EntrezID_Human"	"go_name"
8938	"modulation of chemical synaptic transmission (GO:0050804)"
63827	"perisynaptic extracellular matrix (GO:0098966)"
63827	"synapse maturation (GO:0060074)"
8537	"synapse (GO:0045202)"
53335	"postsynapse (GO:0098794)"
613	"modulation of chemical synaptic transmission (GO:0050804)"
613	"postsynaptic density, intracellular component (GO:0099092)"
627	"trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0099183)"
627	"neuronal dense core vesicle (GO:0098992)"
57596	"regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)"
57596	"postsynapse (GO:0098794)"
274	"synaptic vesicle endocytosis (GO:0048488)"
274	"synapse (GO:0045202)"
274	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
